posts,science
"The brains of dead pigs showed restored cellular activity after they were hooked up to a system called BrainEx 4 hours after death. It did not restore consciousness but revived circulation to arteries, small blood vessels, and capillaries.",1
"The first randomised, double-blind, placebo-controlled microdose trial concluded that microdoses of LSD appreciably altered subjects’ sense of time, allowing them to more accurately reproduce lapsed spans of time, which may explain how microdoses of LSD could lead to more creativity and focus.",1
"Engineers create ‘lifelike’ material with artificial metabolism: Cornell engineers constructed a DNA material with capabilities of metabolism, in addition to self-assembly and organization – three key traits of life.",1
You can't hide your lying eyes: scientists have revealed that women can judge whether a man is likely to be unfaithful just by looking at his face but men are less able to spot a cheating woman,1
School bullying increases chances of mental health issues and unemployment in later life. Being bullied in school increases the extent of mental health problems at age 25 by 40%. It also increases the probability of being unemployed at age 25 by about 35%,1
AI makes key protein research a million times faster,1
The brain cells of dead pigs were partially restored hours after their deaths. The system employed restored brain functions from damage due to anoxia in general and inadequate blood supply in particular. This suggests that neural cell death is not inevitable after prolonged oxygen deprivation.,1
"About one-quarter of seniors store firearms unlocked, loaded. 1 in 5 respondents with loaded weapons not locked away had been diagnosed with depression, the study found. About 1 in 8 had experienced memory loss in the past year.",1
"Earth 'skin temperature test' confirms global warming. Both data sets demonstrate the Earth's surface has been warming globally over this period, and that 2016, 2017, and 2015 have been the warmest years in the instrumental record, in that order.",1
Astronomers discover universe's very first molecule in dying star,1
The living coelacanth Latimeria chalumnae has a hinged braincase. It is split into an anterior and posterior portion. The brain lies far at the rear of the braincase and takes up only 1% of the cavity. This mismatch between the brain and cavity is unequaled among living vertebrates.,1
"Scientists have restored cellular function in 32 pig brains that had been dead for hours, opening up a new avenue in treating brain disease. Researchers devised a system roughly analogous to a dialysis machine that restores circulation and oxygen flow to a dead mammal brain.",1
New climate models predict a warming surge,1
The heaviest drinking 10% of Australians consume over half of the alcohol in Australia,1
Scientists reveal that conditions on nearby exoplanet Proxima-b may be near the fringe of what is considered suitable for life to take root.,1
"New study finds simple way to inoculate teens against junk food marketing when tapping into teens’ desire to rebel, by framing corporations as manipulative marketers trying to hook consumers on addictive junk food for financial gain. Teenage boys cut back junk food purchases by 31%.",1
"Third planet found hiding in Tatooine-like double star system. The system's two stars (one Sun-like, one smaller and cooler) orbit each other every 7.5 days, while the new gaseous planet (Kepler 47d) orbits every 87 days and is 7 times the size of Earth.",1
A new super-Earth may orbit the star next door. Subtle shifts in the motion of the nearby star Proxima Centauri suggest that it may host not one but two alien worlds,1
Harvard Scientists Say Earth Was Struck by an Interstellar Object 5 Years Ago,1
Most ancient type of molecule in universe detected in space,1
"Part of a comet found trapped in a meteorite that came from an asteroid. Researchers think the comet fragment was hurtling toward the Sun when it glommed onto a growing asteroid. Eventually, the asteroid broke up, and the turducken-like space rock fell to Earth, striking Antarctica’s LaPaz Icefield.",1
"Sex-selective abortions may have stopped the birth of 23 million girls, finds a new study. The majority of these “missing” girls are in China and India.",1
Computational researchers develop protein atlas to accelerate personalized medicine for leukemia,1
Study uncovers the unique links between dark triad traits and specific empathic deficits,1
"A world-record result in reducing errors in semiconductor electron 'spin qubits', a type of building block for quantum computers, has been achieved. The experimental result by University of New South Wales engineers demonstrated error rates as low as 0.043 percent, lower than any other electron spin",1
Engadget: CRISPR gene editing has been used on humans in the US,1
"Scientists used near-infrared light and an injected DNA nanodevice to guide stem cells to an injury, which helped muscle tissue regrow in mice. The treated mice showed increased signs of muscle regeneration compared with untreated mice.",1
New technology can selectively target harmful antibiotic-resistant bacteria without damaging healthy &amp; beneficial microflora,1
The introduction of free school lunches in public primary schools in India led to substantial improvements in math and reading test scores.,1
"Even small amounts of red and processed meat - such as a rasher of bacon a day - can increase the risk of bowel cancer, according to research.",1
"Eating just one slice of bacon a day linked to higher risk of colorectal cancer, says study",1
"Carbapenem resistance prevalence and multi drug resistance in is a problem in Mexico. Presence of VRE, and MRSA are common in hospitals.",1
Scientists Use Asteroid to Measure Smallest Star Size to Date,1
"A new study shows that the heaviest drinking 10 per cent of Australians drink 54.4 per cent of all alcohol consumed in Australia. They are also more likely to consume cheap alcohol, such as beer and cask wine.",1
"Researchers have restored and preserved some cellular activities and structures in the brains of pigs that had been decapitated for food production four hours before, although could not detect any network-wide electrical activity that would suggest sentience or consciousness.",1
"Researchers discovered a new broad-spectrum antibiotic that contains arsenic. The antibiotic, arsinothricin or AST, is a natural product made by soil bacteria and is effective against many types of bacteria",1
"Indicators of despair rising among Gen X-ers entering middle age, finds a new study (n = 18,446). Depression, suicidal ideation, drug use and alcohol abuse are rising among Americans in their late 30s and early 40s across most demographic groups.",1
Liquid blood discovered in 42000 year old foal,1
"UCLA researchers and colleagues have designed a new device that creates electricity from falling snow. The first of its kind, this device is inexpensive, small, thin and flexible like a sheet of plastic.",1
New Harvard paper shows nitrous oxide emissions from thawing Alaskan permafrost are about twelve times higher than previously assumed,1
CRISPR Screens Identify New Glioblastoma Targets and Resistance Genes,1
Genetically modified pigs are protected from classical swine fever virus,1
Chemical Composition Of Commercial Cow’s Milk Is Fully Documented In This Newly Published Catalog,1
"For some species, eating one's own offspring is a form of ""parental care."" Some fish, insects, reptiles, and amphibians participate in filial cannibalism to increase the chances of survival for the remaining offspring.",1
Toward Diagnosing CTE in Living People - An experimental PET (positron emission tomography) scan on living people is able to detect abnormal brain tissue—called tau protein—in patterns similar to those found in the brains of deceased NFL players diagnosed with CTE after death.,1
Same-sex marriage legalization is associated with reduced implicit and explicit antigay bias,1
"Deep lakes and ""phantom ponds"" of methane discovered on Saturn's largest moon Titan. Based on data collected by the Cassini spacecraft, the lakes reach some 300 feet deep, while the ponds dry up and disappear as Titan's seasons change. (A full seasonal year on Titan takes 30 Earth years.)",1
The moon is losing 200 tons of water a year to meteorite strikes. Findings suggest lunar soil contains between 200 and 500 parts per million of water—and that the water may be more readily extracted from the soil than previously presumed.,1
"Half of all people who are prescribed statins for the prevention of heart disease fail to reach target cholesterol levels two years later, according to a new study.",1
Scientists crack the code to regenerate plant tissues,1
Researchers at Rutgers University have identified a new factor that is essential for maintaining the stem cells in the brain and gut and whose loss may contribute to anxiety and cognitive disorders and to gastrointestinal diseases.,1
"Study of several universities finds a link between economic development and protection of LGBT right, countries with more rights enjoy higher GDP per capita.",1
A biosynthetic dual-core cell computer,1
Study shows investors with political agendas hurt shareholders and firms,1
A photocleavable surfactant for top-down proteomics,1
Promising malaria vaccine to be tested in first large field trial,1
"Bering Sea has reached climate conditions not expected until 2050, scientists say",1
"New research explores the social information conveyed by facial hair, finding that bearded faces were rated higher on masculinity and aggressiveness, and more prosocial than clean-shaven faces. Specifically, bearded happy faces were rated as more prosocial than clean-shaven happy faces (n=754).",1
